"","GR_0.45205","GR_0.57762","GR_0.67079","GR_0.86643","GR_1.0397","GR_0.45702","GR_0.60274","GR_0.71705","GR_0.88487","GR_0.96718","GR_0.28292","GR_0.40773","GR_0.63983","GR_0.99021"
"accA",-0.214349424308856,-0.281854703849917,-0.20083541705639,-0.0838840038172058,0.0792735011637957,0.198116929152455,0.0865120465742818,0.221567788538409,-0.0153741953908262,0,0.122076303695736,0.193582525081649,0.19206788447965,0
"accB",-0.162033245733403,-0.250646495553591,-0.0836506641876348,-0.134448493111991,0.122980072079576,-0.154313254132251,-0.165175540921488,-0.0151263309385562,-0.17564760510246,0,-0.0741676400152469,0.0122110839508744,-0.0481735163414389,0
"accC",-0.105735733953834,-0.193035541900599,-0.110740422460074,-0.0635293897537227,0.0608494559829747,-0.223390630660263,-0.153960073420109,-0.152997292514451,-0.212316799154681,0,-0.418079982707271,-0.456919910219534,-0.206528563138107,0
"accD",-0.353334212963839,-0.202421611772392,0.058274047499234,-0.0436089891175541,0.0423293852638622,-0.0492777834339619,0.263875732577862,-0.0672282419741273,0.244643545739398,0,0.124328135002202,0.187514398192816,0.11410045158818,0
"aceA",3.24776940365993,2.14147223177567,1.49763806881186,0.0663397152557645,-0.0695378791605986,0.473734968463598,0.482848283068465,0.112233057598497,-0.45492123767621,0,NA,NA,NA,NA
"aceB",2.2409918001057,1.52830619988041,1.17065680282517,0.329216680927719,-0.427267572210842,0.270229907237998,0.313245851787561,-0.172115953972858,-0.812485601807184,0,NA,NA,NA,NA
"aceE",-0.455502845264688,-0.561222910697385,-0.463396952171415,-0.0702215207918489,0.066961627010476,0.64643918561433,0.533164620915383,0.381947800689102,-0.0190095689431901,0,0.00158609235402637,0.0287105859541401,0.0576928671683459,0
"aceF",-0.514460074702191,-0.58033062511075,-0.510533567287211,-0.0894425688719029,0.0842196403132487,0.75779134113757,0.603786553123299,0.43349363984688,-0.0164682236838605,0,-0.330029893384327,-0.339454668445679,-0.276362807784322,0
"ackA",0.288826827027562,0.0921229114872276,0.0866705427870616,-0.0176480219979386,0.017434745762482,0.374622206191208,0.296310560708092,0.169925001442312,0.134220939760633,0,0.435095151620097,0.436694887552877,0.425996321351079,0
"acnA",1.35256705377195,0.773275899369623,0.444986668506074,0.0769209963786278,-0.0812543661055866,1.12181115114199,0.727702672837238,0.446362111878595,-0.17232728427022,0,0.157173094033464,-0.749062673646017,-0.735956060933007,0
"acnB",1.05680008810036,0.847846469935183,0.770355328571157,0.207377849522724,-0.242273112933599,0.0532503847022502,0.00619028907206984,0.0814759815979586,-0.0077536437977189,0,-0.298335620775935,-0.126454502500097,0.00144197417390632,0
"acpP",0.107573484628677,-0.449880760530129,-0.376056112041178,-0.487544153566578,0.36374503049651,0.284277218055128,0.015354834293464,-0.314391698366233,-0.507890447347387,0,0.130271954518859,0.153935010704163,0.0234682805039054,0
"acrA",0.0687093895985837,0.0153793107067224,0.000693436706880228,-0.00550150305948647,0.0054806035673293,0.953227983658649,0.460165894676431,0.552770524439065,0.470510835177275,0,-0.257752281927653,-0.283579713799756,-0.5243962553154,0
"acrB",0.0840723070451504,-0.48800535834819,-0.189683012340679,-0.00523273404923929,0.00521382320582165,0.149649581894975,-0.0495465167943159,0.110496881917402,-0.319585618193183,0,-0.722776958756776,0.0993625397577723,-0.438600539104965,0
