"","protein.concentration..Pi...1.µm3.","mRNA.concentration..mRi...1.µm3.","gene.concentration..Gi...1.µm3.","translation.inititation.rate.αpi..1.min.","mRNA.degradation.rate..δi..1.min.","translational.burstiness..bi","transcriptional.initiation.rate..αmi..1.min.","promoter.on.rate..ki..µm3.min."
"aaeA",NA,0.0149,1.06,NA,NA,NA,NA,NA
"aaeB",NA,0.0111,1.06,NA,1.26,NA,0.0101,7.48e-06
"aaeR",NA,0.158,1.06,NA,1.12,NA,0.129,9.49e-05
"aaeX",NA,0.0532,1.06,NA,NA,NA,NA,NA
"aas",49.1,0.137,0.935,5.45,0.942,5.78,0.113,8.3e-05
"aat",NA,0.227,0.755,NA,0.614,NA,0.156,0.000115
"abgA",NA,0.00421,0.652,NA,NA,NA,NA,NA
"abgB",NA,0.0101,0.652,NA,NA,NA,NA,NA
"abgR",NA,0.0325,0.651,NA,1.61,NA,0.0617,4.55e-05
"abgT",NA,0.0108,0.652,NA,NA,NA,NA,NA
"abpA",NA,0.139,0.876,NA,1.86,NA,0.222,0.000164
"abpB",NA,0.102,0.876,NA,1.31,NA,0.119,8.78e-05
"abrB",NA,0.0556,0.799,NA,0.777,NA,0.0416,3.07e-05
"accA",2090,1.55,0.943,20.5,0.413,49.6,0.52,0.000383
"accB",5040,2.25,1.07,34,0.306,111,0.507,0.000374
"accC",2330,2.63,1.07,13.4,0.473,28.4,0.885,0.000653
"accD",2490,2.14,0.791,17.6,0.673,26.2,1.4,0.00103
"aceA",476,0.305,1.15,23.7,0.204,116,0.0409,3.02e-05
"aceB",273,0.118,1.15,35.1,0.17,207,0.0133,9.81e-06
"aceE",4940,4.8,0.968,15.6,0.506,30.9,1.93,0.00142
"aceF",4180,2.93,0.968,21.7,0.718,30.2,1.61,0.00119
"aceK",NA,0.0489,1.15,NA,0.337,NA,0.0108,7.98e-06
"ackA",2440,1.35,0.786,27.3,0.372,73.3,0.491,0.000362
"acnA",243,0.163,0.666,22.6,0.172,132,0.0326,2.41e-05
"acnB",5610,4.82,0.966,17.7,0.256,69.1,0.97,0.000716
"acpH",NA,0.0828,0.882,NA,1.08,NA,0.077,5.68e-05
"acpP",55600,37.4,0.705,22.6,0.425,53.1,17.4,0.0128
"acpS",114,0.369,0.859,4.7,0.497,9.46,0.163,0.000121
"acpT",119,0.0677,1.14,26.6,1.93,13.8,0.0876,6.46e-05
"acrA",1220,0.778,0.866,23.8,0.553,43,0.375,0.000277
"acrB",411,0.994,0.867,6.27,0.555,11.3,0.471,0.000348
"acrD",NA,0.0449,0.83,NA,1.03,NA,0.0408,3.01e-05
"acrE",NA,0.00331,1.07,NA,NA,NA,NA,NA
"acrF",0.934,0.00754,1.07,1.88,NA,NA,NA,NA
"acrR",NA,0.11,0.866,NA,1.66,NA,0.165,0.000122
"acrZ",NA,0.22,0.787,NA,0.787,NA,0.169,0.000125
"acs",397,0.241,1.12,25,0.406,61.5,0.0652,4.81e-05
"actP",33.9,0.0514,1.12,10,0.773,13,0.0259,1.91e-05
"ada",NA,0.0452,0.761,NA,1.81,NA,0.0786,5.8e-05
"add",155,0.137,0.631,17.2,0.719,23.9,0.118,8.73e-05
"adeD",63.7,0.0445,1.22,21.7,0.863,25.2,0.0241,1.78e-05
"adeP",250,0.678,1.24,5.58,1.25,4.46,0.523,0.000386
"adeQ",NA,0.00168,1.22,NA,NA,NA,NA,NA
"adhE",2810,4.17,0.674,10.2,0.567,18,2.6,0.00192
"adhP",NA,0.044,0.622,NA,NA,NA,NA,NA
"adiA",NA,0.0109,1.1,NA,NA,NA,NA,NA
"adiC",NA,0.00371,1.11,NA,NA,NA,NA,NA
"adiY",NA,0.00541,1.11,NA,NA,NA,NA,NA
"adk",3400,1.1,0.863,46.9,0.513,91.5,0.501,0.00037
"aegA",3.6,0.0128,0.829,4.27,0.954,4.48,0.0115,8.48e-06
"aer",126,0.261,1.01,7.31,1.47,4.97,0.292,0.000215
"aes",NA,0.0265,0.862,NA,1.01,NA,0.0233,1.72e-05
"afuB",NA,0.00671,0.923,NA,NA,NA,NA,NA
"afuC",NA,0.0121,0.923,NA,NA,NA,NA,NA
"agaA",NA,0.0143,1.03,NA,NA,NA,NA,NA
"agaB",NA,0.00137,1.03,NA,NA,NA,NA,NA
"agaC",NA,0.0021,1.03,NA,NA,NA,NA,NA
"agaD",NA,0.00307,1.03,NA,NA,NA,NA,NA
"agaI",NA,0.0031,1.03,NA,NA,NA,NA,NA
"agaR",184,0.231,1.03,12,1.49,8.07,0.259,0.000191
"agaS",NA,0.00713,1.03,NA,NA,NA,NA,NA
"agaV",NA,0.0111,1.03,NA,NA,NA,NA,NA
"agaW",NA,0.00838,1.03,NA,NA,NA,NA,NA
"agp",115,0.0794,0.724,21.9,0.317,69.2,0.0259,1.91e-05
"ahpC",29300,11,0.826,40.4,0.101,398,1.07,0.000789
"ahpF",1130,0.68,0.825,25.3,0.655,38.6,0.406,0.000299
"ahr",NA,0.0251,1.05,NA,NA,NA,NA,NA
"aidB",NA,0.00737,1.08,NA,NA,NA,NA,NA
"ais",NA,0.00668,0.775,NA,NA,NA,NA,NA
"alaA",424,0.487,0.785,13.2,0.664,19.9,0.335,0.000247
"alaC",263,0.153,0.807,26,0.721,36,0.105,7.77e-05
"alaE",NA,0.196,0.886,NA,NA,NA,NA,NA
"alaS",2290,3.54,0.891,9.83,0.702,14,2.23,0.00164
"aldA",2180,1.01,0.635,32.7,0.368,89,0.454,0.000335
"aldB",110,0.00335,1.19,501,NA,NA,NA,NA
"alkA",NA,0.0312,0.724,NA,NA,NA,NA,NA
"alkB",18.2,0.0127,0.761,21.9,NA,NA,NA,NA
"allA",NA,0.00989,0.853,NA,NA,NA,NA,NA
"allB",NA,0.00797,0.851,NA,NA,NA,NA,NA
"allC",NA,0.0123,0.85,NA,NA,NA,NA,NA
"allD",NA,0.00169,0.85,NA,NA,NA,NA,NA
"allE",NA,0.0481,0.85,NA,0.142,NA,0.00634,4.68e-06
"allR",616,0.507,0.853,18.4,0.59,31.2,0.271,2e-04
"allS",NA,0.00222,0.854,NA,NA,NA,NA,NA
"alpA",NA,0.00835,0.875,NA,NA,NA,NA,NA
"alr",160,0.534,1.13,4.54,1.79,2.54,0.647,0.000477
"alsA",NA,0.00452,1.11,NA,NA,NA,NA,NA
"alsB",NA,0.0195,1.11,NA,NA,NA,NA,NA
"alsC",NA,0.016,1.12,NA,NA,NA,NA,NA
"alsE",NA,0.0165,1.12,NA,NA,NA,NA,NA
"alsK",NA,0.0223,1.12,NA,NA,NA,NA,NA
"alx",135,0.111,1.01,18.4,0.768,23.9,0.0646,4.76e-05
"amiA",214,0.197,0.821,16.5,1.44,11.4,0.266,0.000196
"amiB",175,0.184,1.09,14.4,1.25,11.5,0.162,0.00012
"amiC",87.2,0.285,0.928,4.64,1.56,2.97,0.37,0.000273
"amiD",54.4,0.188,0.76,4.38,1.13,3.86,0.21,0.000155
"amn",564,0.337,0.704,25.4,0.205,123,0.0779,5.75e-05
"ampC",49.8,0.029,1.09,26,1.25,20.9,0.0244,1.8e-05
"ampD",NA,0.116,0.97,NA,0.757,NA,0.0715,5.28e-05
"ampE",NA,0.167,0.97,NA,0.928,NA,0.119,8.77e-05
