"","sector","protein_len","gene.length..nt.","cog_name","functional_category_desc"
"1346","O",319,960,"Acetyl-CoA carboxylase alpha subunit","Lipid transport and metabolism"
"726","U",156,471,"Biotin carboxyl carrier protein","Lipid transport and metabolism"
"612","U",449,1350,"Biotin carboxylase","Lipid transport and metabolism"
"1269","R",304,915,"Acetyl-CoA carboxylase beta subunit","Lipid transport and metabolism"
"2600","S",434,1305,"Isocitrate lyase","Energy production and conversion"
"2602","S",533,1602,"Malate synthase","Energy production and conversion"
"2729","O",887,2664,"Pyruvate dehydrogenase complex, dehydrogenase (E1) component","Energy production and conversion"
"719","A",630,1893,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component","Energy production and conversion"
"392","O",400,1203,"Acetate kinase","Energy production and conversion"
"1488","S",891,2676,"Aconitase A","Energy production and conversion"
"1489","S",865,2598,"Aconitase B","Energy production and conversion"
"306","O",78,237,"Acyl carrier protein","Lipid transport and metabolism"
"1385","S",397,1194,"Multidrug efflux pump subunit AcrA (membrane-fusion protein)","Cell wall/membrane/envelope biogenesis"
"1373","A",1049,3150,"Multidrug efflux pump subunit AcrB","Defense mechanisms"
"502","C",652,1959,"Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase","Lipid transport and metabolism"
"3496","S",549,1650,"Na+(or H+)/acetate symporter ActP","Energy production and conversion"
"1430","A",891,2676,"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","Lipid transport and metabolism"
"826","A",214,645,"Adenylate kinase or related kinase","Nucleotide transport and metabolism"
"1371","C",506,1521,"Methyl-accepting chemotaxis protein (MCP)","Signal transduction mechanisms"
"NA","S",NA,NA,NA,NA
"631","S",187,564,"Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)","Defense mechanisms"
"3351","O",521,1566,"Alkyl hydroperoxide reductase subunit AhpF","Defense mechanisms"
"NA.1","A",NA,NA,NA,NA
"16","A",876,2631,"Alanyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1434","C",479,1440,"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","Lipid transport and metabolism"
"1440","C",512,1539,"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","Lipid transport and metabolism"
"1902","O",271,816,"DNA-binding transcriptional regulator, IclR family","Transcription"
"1264","S",484,1455,"Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB","Nucleotide transport and metabolism"
"1018","U",280,843,"Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family","Signal transduction mechanisms"
"3378","C",237,714,"Acid phosphatase, class B","Inorganic ion transport and metabolism"
"714","R",183,552,"Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein","Nucleotide transport and metabolism"
"1218","O",238,717,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain","Signal transduction mechanisms"
"798","A",443,1332,"N-acetylglutamate kinase","Amino acid transport and metabolism"
"799","A",258,774,"N-acetylglutamate kinase","Amino acid transport and metabolism"
"2","A",334,1005,"N-acetyl-gamma-glutamylphosphate reductase","Amino acid transport and metabolism"
"3672","A",406,1221,"Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase","Amino acid transport and metabolism"
"985","A",383,1152,"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase","Amino acid transport and metabolism"
"176","A",447,1344,"Argininosuccinate synthase","Amino acid transport and metabolism"
"206","A",457,1374,"Argininosuccinate lyase","Amino acid transport and metabolism"
"101","A",334,1005,"Ornithine carbamoyltransferase","Amino acid transport and metabolism"
"1913","A",156,471,"Arginine repressor","Transcription"
"21","O",577,1734,"Arginyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1360","S",260,783,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"286","S",660,1983,"Methionyl-tRNA formyltransferase","Translation, ribosomal structure and biogenesis"
"549","O",385,1158,"dTDP-4-amino-4,6-dideoxygalactose transaminase","Cell wall/membrane/envelope biogenesis"
"652","O",322,969,"Glycosyltransferase involved in cell wall bisynthesis","Cell wall/membrane/envelope biogenesis"
"162","A",427,1284,"5-enolpyruvylshikimate-3-phosphate synthase","Amino acid transport and metabolism"
"466","O",362,1089,"3-dehydroquinate synthetase","Amino acid transport and metabolism"
"106","A",361,1086,"Chorismate synthase","Amino acid transport and metabolism"
"1156","A",252,759,"3-dehydroquinate dehydratase","Amino acid transport and metabolism"
"214","R",272,819,"Shikimate 5-dehydrogenase","Amino acid transport and metabolism"
"1175","U",356,1071,"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase","Amino acid transport and metabolism"
"1173","A",350,1053,"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase","Amino acid transport and metabolism"
"1174","R",348,1047,"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase","Amino acid transport and metabolism"
"1149","R",173,522,"Shikimate kinase","Amino acid transport and metabolism"
"1357","O",243,732,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"1356","A",243,732,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain","Amino acid transport and metabolism"
"3503","R",242,729,"ABC-type arginine transport system, ATPase component","Amino acid transport and metabolism"
"175","A",367,1104,"Aspartate-semialdehyde dehydrogenase","Amino acid transport and metabolism"
"2721","A",330,993,"Asparagine synthetase A","Amino acid transport and metabolism"
"508","A",554,1665,"Asparagine synthetase B (glutamine-hydrolyzing)","Amino acid transport and metabolism"
"20","U",466,1401,"Aspartyl/asparaginyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1929","S",396,1191,"Aspartate/aromatic aminotransferase","Amino acid transport and metabolism"
"217","O",590,1773,"Aspartyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"71","C",513,1542,"FoF1-type ATP synthase, alpha subunit","Energy production and conversion"
"490","U",271,816,"FoF1-type ATP synthase, membrane subunit a","Energy production and conversion"
