"","gene","locus","gene.length..nt."
"1","aaeA","b3241",933
"2","aaeB","b3240",1968
"3","aaeR","b3243",930
"4","aaeX","b3242",204
"5","aas","b2836",2160
"6","aat","b0885",705
"7","abgA","b1338",1311
"8","abgB","b1337",1446
"9","abgR","b1339",909
"10","abgT","b1336",1527
"11","abpA","b2628",1617
"12","abpB","b2627",2190
"13","abrB","b0715",1047
"14","accA","b0185",960
"15","accB","b3255",471
"16","accC","b3256",1350
"17","accD","b2316",915
"18","aceA","b4015",1305
"19","aceB","b4014",1602
"20","aceE","b0114",2664
"21","aceF","b0115",1893
"22","aceK","b4016",1737
"23","ackA","b2296",1203
"24","acnA","b1276",2676
"25","acnB","b0118",2598
"26","acpH","b0404",582
"27","acpP","b1094",237
"28","acpS","b2563",381
"29","acpT","b3475",588
"30","acrA","b0463",1194
"31","acrB","b0462",3150
"32","acrD","b2470",3114
"33","acrE","b3265",1158
"34","acrF","b3266",3105
"35","acrR","b0464",648
"36","acrZ","b0762",150
"37","acs","b4069",1959
"38","actP","b4067",1650
"39","ada","b2213",1065
"40","add","b1623",1002
"41","adeD","b3665",1767
"42","adeP","b3714",1338
"43","adeQ","b3664",1335
"44","adhE","b1241",2676
"45","adhP","b1478",1011
"46","adiA","b4117",2268
"47","adiC","b4115",1338
"48","adiY","b4116",762
"49","adk","b0474",645
"50","aegA","b2468",1980
"51","aer","b3072",1521
"52","aes","b0476",960
"53","afuB","b0263",363
"54","afuC","b0262",1047
"55","agaA","b3135",504
"56","agaB","b3138",477
"57","agaC","b3139",804
"58","agaD","b3140",792
"59","agaI","b3141",756
"60","agaR","b3131",810
"61","agaS","b3136",1155
"62","agaV","b3133",474
"63","agaW","b3134",402
"64","agp","b1002",1242
"65","ahpC","b0605",564
"66","ahpF","b0606",1566
"67","ahr","b4269",1020
"68","aidB","b4187",1626
"69","ais","b2252",603
"70","alaA","b2290",1218
"71","alaC","b2379",1239
"72","alaE","b2670",450
"73","alaS","b2697",2631
"74","aldA","b1415",1440
"75","aldB","b3588",1539
"76","alkA","b2068",849
"77","alkB","b2212",651
"78","allA","b0505",483
"79","allB","b0512",1362
"80","allC","b0516",1236
"81","allD","b0517",1050
"82","allE","b0515",786
"83","allR","b0506",816
"84","allS","b0504",927
"85","alpA","b2624",213
"86","alr","b4053",1080
"87","alsA","b4087",1533
"88","alsB","b4088",936
"89","alsC","b4086",981
"90","alsE","b4085",696
"91","alsK","b4084",930
"92","alx","b3088",966
"93","amiA","b2435",870
"94","amiB","b4169",1338
"95","amiC","b2817",1254
"96","amiD","b0867",831
"97","amn","b1982",1455
"98","ampC","b4150",1134
"99","ampD","b0110",552
"100","ampE","b0111",855
"101","ampG","b0433",1476
"102","ampH","b0376",1158
"103","amtB","b0451",1287
"104","amyA","b1927",1488
"105","anmK","b1640",1110
"106","ansA","b1767",1017
"107","ansB","b2957",1047
"108","ansP","b1453",1500
"109","apaG","b0050",378
"110","apaH","b0049",843
"111","aphA","b4055",714
"112","appA","b0980",1299
"113","appB","b0979",1137
"114","appC","b0978",1545
"115","appX","b4592",93
"116","appY","b0564",750
"117","apt","b0469",552
"118","aqpZ","b0875",696
"119","araA","b0062",1503
"120","araB","b0063",1701
"121","araC","b0064",879
"122","araD","b0061",696
"123","araE","b2841",1419
"124","araF","b1901",990
"125","araG","b1900",1515
"126","araH","b4460",990
"127","araJ","b0396",1185
"128","arcA","b4401",717
"129","arcB","b3210",2337
"130","arfA","b4550",219
"131","arfB","b0191",423
"132","argA","b2818",1332
"133","argB","b3959",774
"134","argC","b3958",1005
"135","argD","b3359",1221
"136","argE","b3957",1152
"137","argF","b0273",1005
"138","argG","b3172",1344
"139","argH","b3960",1374
"140","argI","b4254",1005
"141","argK","b2918",996
"142","argO","b2923",636
"143","argP","b2916",894
"144","argR","b3237",471
"145","argS","b1876",1734
"146","argT","b2310",783
"147","ariR","b1166",267
"148","arnA","b2255",1983
"149","arnB","b2253",1158
"150","arnC","b2254",969
"151","arnD","b2256",891
"152","arnE","b4544",336
"153","arnF","b2258",387
"154","arnT","b2257",1653
"155","aroA","b0908",1284
"156","aroB","b3389",1089
"157","aroC","b2329",1086
"158","aroD","b1693",759
"159","aroE","b3281",819
"160","aroF","b2601",1071
"161","aroG","b0754",1053
"162","aroH","b1704",1047
"163","aroK","b3390",522
"164","aroL","b0388",525
"165","aroM","b0390",678
"166","aroP","b0112",1374
"167","arpA","b4017",2187
"168","arpB_1","b1720",474
"169","arpB_2","b1721",1416
"170","arsB","b3502",1290
"171","arsC","b3503",426
"172","arsR","b3501",354
"173","artI","b0863",732
"174","artJ","b0860",732
"175","artM","b0861",669
"176","artP","b0864",729
"177","artQ","b0862",717
"178","ascB","b2716",1425
"179","ascF","b2715",1458
"180","ascG","b2714",1011
"181","asd","b3433",1104
"182","aslA","b3801",1656
"183","aslB","b3800",1236
"184","asmA","b2064",1854
"185","asnA","b3744",993
"186","asnB","b0674",1665
"187","asnC","b3743",459
"188","asnS","b0930",1401
"189","aspA","b4139",1437
"190","aspC","b0928",1191
"191","aspS","b1866",1773
"192","asr","b1597",309
"193","astA","b1747",1035
"194","astB","b1745",1344
"195","astC","b1748",1221
"196","astD","b1746",1479
"197","astE","b1744",969
"198","atl","b0454",390
"199","atoA","b2222",651
"200","atoB","b2224",1185
"201","atoC","b2220",1386
"202","atoD","b2221",663
"203","atoE","b2223",1323
"204","atoS","b2219",1827
"205","atpA","b3734",1542
"206","atpB","b3738",816
"207","atpC","b3731",420
